month,season,disease_category,disease,cases_reported,avg_severity,avg_age
2025-04,Spring,Mental,Anxiety,134,5.7,46.6
2025-04,Spring,Mental,Depression,99,4.2,30.4
2025-04,Spring,Mental,Insomnia,395,6.6,54.1
2025-04,Spring,Mental,Stress,59,6.4,35.0
2025-04,Spring,Mental,Migraine,514,4.9,41.7
2025-04,Spring,Skin,Eczema,292,5.9,35.1
2025-04,Spring,Skin,Psoriasis,317,5.3,33.7
2025-04,Spring,Skin,Acne,467,4.6,30.7
2025-04,Spring,Skin,Dermatitis,49,6.6,43.8
2025-04,Spring,Lifestyle,Hypertension,330,7.4,51.7
2025-04,Spring,Lifestyle,Fatigue,181,5.0,36.4
2025-04,Spring,Lifestyle,Poor Immunity,402,5.9,34.5
2025-05,Summer,Respiratory,Asthma,145,6.4,42.9
2025-05,Summer,Respiratory,Bronchitis,336,5.1,44.3
2025-05,Summer,Respiratory,Common Cold,211,5.7,38.6
2025-05,Summer,Respiratory,Sinusitis,208,6.9,51.6
2025-05,Summer,Respiratory,Allergic Rhinitis,73,5.9,52.4
2025-05,Summer,Digestive,IBS,344,4.5,33.4
2025-05,Summer,Digestive,Acidity,336,6.5,53.8
2025-05,Summer,Digestive,Constipation,198,7.8,47.3
2025-05,Summer,Digestive,Gastritis,324,5.8,53.7
2025-05,Summer,Digestive,Indigestion,295,6.3,49.8
2025-05,Summer,Metabolic,Diabetes,54,5.2,50.2
2025-05,Summer,Metabolic,Obesity,512,6.2,58.1
2025-05,Summer,Metabolic,Thyroid Disorder,441,4.6,52.3
2025-05,Summer,Metabolic,High Cholesterol,99,7.9,44.6
2025-05,Summer,Musculoskeletal,Arthritis,157,6.8,44.8
2025-05,Summer,Musculoskeletal,Back Pain,368,7.3,41.3
2025-05,Summer,Musculoskeletal,Joint Pain,317,5.4,36.4
2025-05,Summer,Musculoskeletal,Muscle Weakness,278,6.0,53.5
2025-05,Summer,Mental,Anxiety,357,4.5,59.4
2025-05,Summer,Mental,Depression,220,5.5,34.0
2025-05,Summer,Mental,Insomnia,210,4.4,50.4
2025-05,Summer,Mental,Stress,293,5.0,58.2
2025-05,Summer,Mental,Migraine,110,5.5,40.9
2025-05,Summer,Skin,Eczema,244,7.8,43.4
2025-05,Summer,Skin,Psoriasis,404,6.5,44.1
2025-05,Summer,Skin,Acne,261,7.8,54.4
2025-05,Summer,Skin,Dermatitis,238,8.0,41.6
2025-05,Summer,Lifestyle,Hypertension,279,4.6,56.2
2025-05,Summer,Lifestyle,Fatigue,234,7.7,47.3
2025-05,Summer,Lifestyle,Poor Immunity,401,7.3,40.2
2025-06,Summer,Respiratory,Asthma,195,4.0,48.8
2025-06,Summer,Respiratory,Bronchitis,137,7.0,34.3
2025-06,Summer,Respiratory,Common Cold,268,5.2,52.9
2025-06,Summer,Respiratory,Sinusitis,157,7.4,42.4
2025-06,Summer,Respiratory,Allergic Rhinitis,444,5.3,57.8
2025-06,Summer,Digestive,IBS,67,6.7,40.2
2025-06,Summer,Digestive,Acidity,436,5.1,46.5
2025-06,Summer,Digestive,Constipation,122,5.6,55.1
2025-06,Summer,Digestive,Gastritis,88,6.3,41.5
2025-06,Summer,Digestive,Indigestion,174,5.4,51.0
2025-06,Summer,Metabolic,Diabetes,143,6.6,53.2
2025-06,Summer,Metabolic,Obesity,338,7.4,56.5
2025-06,Summer,Metabolic,Thyroid Disorder,151,5.1,48.4
2025-06,Summer,Metabolic,High Cholesterol,166,4.2,36.3
2025-06,Summer,Musculoskeletal,Arthritis,206,5.3,31.8
2025-06,Summer,Musculoskeletal,Back Pain,131,7.2,44.2
2025-06,Summer,Musculoskeletal,Joint Pain,202,5.7,31.4
2025-06,Summer,Musculoskeletal,Muscle Weakness,379,7.6,33.4
2025-06,Summer,Mental,Anxiety,391,6.6,33.4
2025-06,Summer,Mental,Depression,217,6.7,58.2
2025-06,Summer,Mental,Insomnia,64,6.1,59.0
2025-06,Summer,Mental,Stress,286,7.7,46.4
2025-06,Summer,Mental,Migraine,321,7.3,38.0
2025-06,Summer,Skin,Eczema,141,5.6,46.4
2025-06,Summer,Skin,Psoriasis,252,4.5,37.6
2025-06,Summer,Skin,Acne,287,5.1,49.3
2025-06,Summer,Skin,Dermatitis,262,7.6,45.3
2025-06,Summer,Lifestyle,Hypertension,97,6.8,33.9
2025-06,Summer,Lifestyle,Fatigue,305,5.0,47.5
2025-06,Summer,Lifestyle,Poor Immunity,329,7.6,48.6
2025-07,Monsoon,Respiratory,Asthma,245,5.6,55.1
2025-07,Monsoon,Respiratory,Bronchitis,347,6.4,39.8
2025-07,Monsoon,Respiratory,Common Cold,443,5.1,44.8
2025-07,Monsoon,Respiratory,Sinusitis,223,6.4,58.1
2025-07,Monsoon,Respiratory,Allergic Rhinitis,304,7.0,35.8
2025-07,Monsoon,Digestive,IBS,208,4.7,33.9
2025-07,Monsoon,Digestive,Acidity,377,4.1,37.1
2025-07,Monsoon,Digestive,Constipation,337,4.1,31.4
2025-07,Monsoon,Digestive,Gastritis,517,6.5,52.6
2025-07,Monsoon,Digestive,Indigestion,295,6.7,49.4
2025-07,Monsoon,Metabolic,Diabetes,69,4.8,50.0
2025-07,Monsoon,Metabolic,Obesity,292,7.3,50.6
2025-07,Monsoon,Metabolic,Thyroid Disorder,509,7.7,43.3
2025-07,Monsoon,Metabolic,High Cholesterol,228,5.0,42.4
2025-07,Monsoon,Musculoskeletal,Arthritis,393,7.7,47.7
2025-07,Monsoon,Musculoskeletal,Back Pain,316,8.0,36.8
2025-07,Monsoon,Musculoskeletal,Joint Pain,258,7.1,31.0
2025-07,Monsoon,Musculoskeletal,Muscle Weakness,135,6.7,56.2
2025-07,Monsoon,Mental,Anxiety,202,4.7,44.2
2025-07,Monsoon,Mental,Depression,76,4.4,32.2
2025-07,Monsoon,Mental,Insomnia,105,6.9,47.8
2025-07,Monsoon,Mental,Stress,46,7.0,45.9
2025-07,Monsoon,Mental,Migraine,144,6.9,36.8
2025-07,Monsoon,Skin,Eczema,433,4.2,39.6
2025-07,Monsoon,Skin,Psoriasis,341,4.3,43.7
2025-07,Monsoon,Skin,Acne,141,5.2,52.6
2025-07,Monsoon,Skin,Dermatitis,565,5.2,46.6
2025-07,Monsoon,Lifestyle,Hypertension,179,6.7,52.2
2025-07,Monsoon,Lifestyle,Fatigue,181,5.5,46.5
2025-07,Monsoon,Lifestyle,Poor Immunity,388,7.4,55.2
2025-08,Monsoon,Respiratory,Asthma,237,4.1,39.4
2025-08,Monsoon,Respiratory,Bronchitis,251,5.2,32.2
2025-08,Monsoon,Respiratory,Common Cold,386,4.7,41.5
2025-08,Monsoon,Respiratory,Sinusitis,449,7.3,39.4
2025-08,Monsoon,Respiratory,Allergic Rhinitis,402,5.0,30.5
2025-08,Monsoon,Digestive,IBS,409,7.3,49.9
2025-08,Monsoon,Digestive,Acidity,91,5.3,58.2
2025-08,Monsoon,Digestive,Constipation,346,7.7,32.1
2025-08,Monsoon,Digestive,Gastritis,319,5.2,55.9
2025-08,Monsoon,Digestive,Indigestion,361,6.2,34.0
2025-08,Monsoon,Metabolic,Diabetes,222,4.3,39.9
2025-08,Monsoon,Metabolic,Obesity,542,7.6,40.1
2025-08,Monsoon,Metabolic,Thyroid Disorder,437,5.6,33.5
2025-08,Monsoon,Metabolic,High Cholesterol,400,6.8,42.5
2025-08,Monsoon,Musculoskeletal,Arthritis,407,6.8,41.6
2025-08,Monsoon,Musculoskeletal,Back Pain,401,5.6,30.5
2025-08,Monsoon,Musculoskeletal,Joint Pain,456,7.3,30.5
2025-08,Monsoon,Musculoskeletal,Muscle Weakness,237,6.9,37.3
2025-08,Monsoon,Mental,Anxiety,225,5.8,49.0
2025-08,Monsoon,Mental,Depression,111,5.6,39.8
2025-08,Monsoon,Mental,Insomnia,195,4.0,52.0
2025-08,Monsoon,Mental,Stress,399,6.7,55.0
2025-08,Monsoon,Mental,Migraine,99,4.7,44.3
2025-08,Monsoon,Skin,Eczema,377,5.0,59.8
2025-08,Monsoon,Skin,Psoriasis,297,7.1,33.0
2025-08,Monsoon,Skin,Acne,155,5.9,32.3
2025-08,Monsoon,Skin,Dermatitis,323,6.3,49.5
2025-08,Monsoon,Lifestyle,Hypertension,330,7.9,32.7
2025-08,Monsoon,Lifestyle,Fatigue,125,5.4,37.4
2025-08,Monsoon,Lifestyle,Poor Immunity,442,6.2,56.4
2025-09,Autumn,Respiratory,Asthma,59,6.6,40.3
2025-09,Autumn,Respiratory,Bronchitis,452,7.0,45.6
2025-09,Autumn,Respiratory,Common Cold,335,5.4,32.0
2025-09,Autumn,Respiratory,Sinusitis,470,4.0,48.1
2025-09,Autumn,Respiratory,Allergic Rhinitis,295,7.8,41.8
2025-09,Autumn,Digestive,IBS,335,6.6,43.7
2025-09,Autumn,Digestive,Acidity,253,7.6,56.6
2025-09,Autumn,Digestive,Constipation,487,6.7,37.2
2025-09,Autumn,Digestive,Gastritis,530,7.3,57.2
2025-09,Autumn,Digestive,Indigestion,296,5.4,51.8
2025-09,Autumn,Metabolic,Diabetes,245,4.3,39.6
2025-09,Autumn,Metabolic,Obesity,130,6.9,50.7
2025-09,Autumn,Metabolic,Thyroid Disorder,428,6.8,35.5
2025-09,Autumn,Metabolic,High Cholesterol,138,4.3,30.3
2025-09,Autumn,Musculoskeletal,Arthritis,128,5.2,50.7
2025-09,Autumn,Musculoskeletal,Back Pain,536,4.4,36.5
2025-09,Autumn,Musculoskeletal,Joint Pain,317,5.6,32.2
2025-09,Autumn,Musculoskeletal,Muscle Weakness,63,5.5,33.7
2025-09,Autumn,Mental,Anxiety,357,6.7,55.6
2025-09,Autumn,Mental,Depression,359,7.4,52.2
2025-09,Autumn,Mental,Insomnia,287,6.0,59.9
2025-09,Autumn,Mental,Stress,52,5.0,44.0
2025-09,Autumn,Mental,Migraine,279,4.5,38.1
2025-09,Autumn,Skin,Eczema,270,6.3,51.1
2025-09,Autumn,Skin,Psoriasis,508,4.4,48.0
2025-09,Autumn,Skin,Acne,168,6.4,51.0
2025-09,Autumn,Skin,Dermatitis,371,6.7,39.1
2025-09,Autumn,Lifestyle,Hypertension,186,6.7,34.0
2025-09,Autumn,Lifestyle,Fatigue,306,7.3,30.8
2025-09,Autumn,Lifestyle,Poor Immunity,128,5.0,31.7
2025-10,Autumn,Respiratory,Asthma,212,5.7,50.3
2025-10,Autumn,Respiratory,Bronchitis,452,5.4,54.5
2025-10,Autumn,Respiratory,Common Cold,243,4.7,48.9
2025-10,Autumn,Respiratory,Sinusitis,244,4.5,30.7
2025-10,Autumn,Respiratory,Allergic Rhinitis,122,7.9,34.4
2025-10,Autumn,Digestive,IBS,327,6.6,58.7
2025-10,Autumn,Digestive,Acidity,379,5.3,40.1
2025-10,Autumn,Digestive,Constipation,389,7.3,52.7
2025-10,Autumn,Digestive,Gastritis,467,5.5,59.5
2025-10,Autumn,Digestive,Indigestion,248,8.0,45.1
2025-10,Autumn,Metabolic,Diabetes,469,4.2,47.4
2025-10,Autumn,Metabolic,Obesity,352,4.1,33.6
2025-10,Autumn,Metabolic,Thyroid Disorder,290,7.3,31.3
2025-10,Autumn,Metabolic,High Cholesterol,430,7.0,42.4
2025-10,Autumn,Musculoskeletal,Arthritis,359,4.6,41.1
2025-10,Autumn,Musculoskeletal,Back Pain,354,7.7,32.0
2025-10,Autumn,Musculoskeletal,Joint Pain,279,5.6,40.0
2025-10,Autumn,Musculoskeletal,Muscle Weakness,387,6.8,56.5
2025-10,Autumn,Mental,Anxiety,399,4.5,52.4
2025-10,Autumn,Mental,Depression,376,7.8,57.1
2025-10,Autumn,Mental,Insomnia,84,5.1,50.0
2025-10,Autumn,Mental,Stress,142,6.9,31.4
2025-10,Autumn,Mental,Migraine,371,4.6,34.7
2025-10,Autumn,Skin,Eczema,307,4.2,52.6
2025-10,Autumn,Skin,Psoriasis,297,7.9,38.7
2025-10,Autumn,Skin,Acne,124,4.2,35.7
2025-10,Autumn,Skin,Dermatitis,540,6.0,35.9
2025-10,Autumn,Lifestyle,Hypertension,208,5.6,33.0
2025-10,Autumn,Lifestyle,Fatigue,203,7.4,57.3
2025-10,Autumn,Lifestyle,Poor Immunity,87,7.4,54.5
2025-11,Winter,Respiratory,Asthma,359,6.4,50.0
2025-11,Winter,Respiratory,Bronchitis,126,4.2,58.2
2025-11,Winter,Respiratory,Common Cold,455,4.2,55.5
2025-11,Winter,Respiratory,Sinusitis,468,7.7,44.9
2025-11,Winter,Respiratory,Allergic Rhinitis,473,5.3,42.6
2025-11,Winter,Digestive,IBS,370,7.0,32.2
2025-11,Winter,Digestive,Acidity,468,7.7,47.3
2025-11,Winter,Digestive,Constipation,207,5.4,31.5
2025-11,Winter,Digestive,Gastritis,222,5.9,37.2
2025-11,Winter,Digestive,Indigestion,221,4.2,37.0
2025-11,Winter,Metabolic,Diabetes,235,7.8,55.8
2025-11,Winter,Metabolic,Obesity,243,5.7,39.1
2025-11,Winter,Metabolic,Thyroid Disorder,135,6.5,41.3
2025-11,Winter,Metabolic,High Cholesterol,198,4.8,48.6
2025-11,Winter,Musculoskeletal,Arthritis,467,5.0,31.2
2025-11,Winter,Musculoskeletal,Back Pain,342,4.5,48.7
2025-11,Winter,Musculoskeletal,Joint Pain,179,6.7,52.5
2025-11,Winter,Musculoskeletal,Muscle Weakness,172,5.5,35.8
2025-11,Winter,Mental,Anxiety,503,7.9,56.4
2025-11,Winter,Mental,Depression,296,6.9,56.9
2025-11,Winter,Mental,Insomnia,266,5.7,55.4
2025-11,Winter,Mental,Stress,487,7.5,31.2
2025-11,Winter,Mental,Migraine,370,6.0,35.1
2025-11,Winter,Skin,Eczema,528,5.2,42.2
2025-11,Winter,Skin,Psoriasis,187,5.2,54.7
2025-11,Winter,Skin,Acne,326,5.0,52.3
2025-11,Winter,Skin,Dermatitis,120,5.3,30.7
2025-11,Winter,Lifestyle,Hypertension,66,7.4,51.2
2025-11,Winter,Lifestyle,Fatigue,386,7.5,31.8
2025-11,Winter,Lifestyle,Poor Immunity,552,6.0,46.2
2025-12,Winter,Respiratory,Asthma,178,4.2,45.9
2025-12,Winter,Respiratory,Bronchitis,173,5.9,45.6
2025-12,Winter,Respiratory,Common Cold,209,7.8,56.5
2025-12,Winter,Respiratory,Sinusitis,496,4.3,45.9
2025-12,Winter,Respiratory,Allergic Rhinitis,274,4.4,50.3
2025-12,Winter,Digestive,IBS,85,6.4,47.2
2025-12,Winter,Digestive,Acidity,299,4.3,57.9
2025-12,Winter,Digestive,Constipation,318,6.6,43.0
2025-12,Winter,Digestive,Gastritis,583,5.7,49.9
2025-12,Winter,Digestive,Indigestion,184,5.0,41.5
2025-12,Winter,Metabolic,Diabetes,486,4.1,47.9
2025-12,Winter,Metabolic,Obesity,332,5.8,37.3
2025-12,Winter,Metabolic,Thyroid Disorder,318,6.4,39.3
2025-12,Winter,Metabolic,High Cholesterol,283,4.6,46.8
2025-12,Winter,Musculoskeletal,Arthritis,97,6.0,54.8
2025-12,Winter,Musculoskeletal,Back Pain,259,6.9,35.4
2025-12,Winter,Musculoskeletal,Joint Pain,302,7.9,42.1
2025-12,Winter,Musculoskeletal,Muscle Weakness,487,4.4,38.5
2025-12,Winter,Mental,Anxiety,215,4.9,39.4
2025-12,Winter,Mental,Depression,179,5.4,60.0
2025-12,Winter,Mental,Insomnia,203,5.8,58.4
2025-12,Winter,Mental,Stress,148,6.5,31.1
2025-12,Winter,Mental,Migraine,422,7.2,59.2
2025-12,Winter,Skin,Eczema,270,6.8,58.1
2025-12,Winter,Skin,Psoriasis,61,6.7,53.4
2025-12,Winter,Skin,Acne,319,7.9,34.7
2025-12,Winter,Skin,Dermatitis,195,7.8,42.5
2025-12,Winter,Lifestyle,Hypertension,63,7.3,30.4
2025-12,Winter,Lifestyle,Fatigue,471,5.8,46.7
2025-12,Winter,Lifestyle,Poor Immunity,368,4.9,31.5
2026-01,Late Winter,Respiratory,Asthma,231,5.2,40.7
2026-01,Late Winter,Respiratory,Bronchitis,152,6.7,36.7
2026-01,Late Winter,Respiratory,Common Cold,412,6.1,48.3
2026-01,Late Winter,Respiratory,Sinusitis,147,5.6,33.2
2026-01,Late Winter,Respiratory,Allergic Rhinitis,454,5.9,30.3
2026-01,Late Winter,Digestive,IBS,246,4.6,41.3
2026-01,Late Winter,Digestive,Acidity,431,6.2,52.8
2026-01,Late Winter,Digestive,Constipation,538,7.4,42.6
2026-01,Late Winter,Digestive,Gastritis,66,5.7,55.2
2026-01,Late Winter,Digestive,Indigestion,83,7.2,42.9
2026-01,Late Winter,Metabolic,Diabetes,203,7.8,44.7
2026-01,Late Winter,Metabolic,Obesity,385,5.4,38.8
2026-01,Late Winter,Metabolic,Thyroid Disorder,435,4.8,57.7
2026-01,Late Winter,Metabolic,High Cholesterol,444,7.7,58.4
2026-01,Late Winter,Musculoskeletal,Arthritis,325,7.3,55.1
2026-01,Late Winter,Musculoskeletal,Back Pain,201,6.5,46.4
2026-01,Late Winter,Musculoskeletal,Joint Pain,281,4.0,33.1
2026-01,Late Winter,Musculoskeletal,Muscle Weakness,337,4.9,40.2
2026-01,Late Winter,Mental,Anxiety,85,6.3,38.7
2026-01,Late Winter,Mental,Depression,257,4.1,55.5
2026-01,Late Winter,Mental,Insomnia,375,6.6,54.1
2026-01,Late Winter,Mental,Stress,349,6.7,54.5
2026-01,Late Winter,Mental,Migraine,344,7.0,58.5
2026-01,Late Winter,Skin,Eczema,284,5.9,39.6
2026-01,Late Winter,Skin,Psoriasis,382,7.1,35.9
2026-01,Late Winter,Skin,Acne,167,7.6,36.6
2026-01,Late Winter,Skin,Dermatitis,283,4.5,48.6
2026-01,Late Winter,Lifestyle,Hypertension,208,4.0,39.8
2026-01,Late Winter,Lifestyle,Fatigue,461,6.7,42.2
2026-01,Late Winter,Lifestyle,Poor Immunity,71,7.1,44.5
